Nş;Empresa;Rubro:;Producto:
1;Sabilven;Harinas;harina de yuca
2;Sabilven;Harinas;harina de platano verde
3;Sabilven;Harinas;barras dermolimpiadoras a base de gel aloe vera
4;Sabilven;Harinas;barras dermolimpiadoras a base de gel aloe vera
5;Sabilven;Harinas;barras dermolimpiadoras a base de gel aloe vera
6;Sabilven;Harinas;barras de jabón para lavado de ropa a base de gel aloe vera
7;Sabilven;Harinas;gel antibacterial  con aloe vera 
8;Sabilven;Harinas;gel de aloe vera 1:1 sin decolorar
9;Sabilven;Harinas;gel de aloe vera de hoja entera 20:1 decolorado
10;Sabilven;Harinas;gel de aloe vera de hoja entera 20:1 decolorado
11;Argelia Laya;Frutas procesadas;mermelada de plátano macho “mina”
12;La Fina;Aceites y grasas;palmín manteca vegetal
13;La Fina;Aceites y grasas;cravo margarina multiproposito con sal 
14;La Fina;Aceites y grasas;cravo margarina multiproposito sin sal 
15;Indugram;Aceites y grasas;finoil
16;Indugram;Aceites y grasas;palma fryt
17;La Fina;Aceites y grasas;finessa margarina de mesa
18;La Fina;Aceites y grasas;lider untable de margarina con sal
19;La Fina;Aceites y grasas;choco crema crema untable sabor a chocolate
20;Lacteos Los Andes;Lácteos;leche en polvo completa
21;Lacteos Los Andes;Lácteos;leche en polvo completa
22;Lacteos Los Andes;Lácteos;leche en polvo completa
23;Lacteos Los Andes;Lácteos;leche pasteurizada
24;Lacteos Los Andes;Lácteos;leche pasteurizada
25;Lacteos Los Andes;Lácteos;chicha de arroz
26;Lacteos Los Andes;Lácteos;leche condesada
27;Lacteos Los Andes;Lácteos;mantequilla con sal
28;Lacteos Los Andes;Lácteos;mantequilla con sal
29;Lacteos Los Andes;Lácteos;crema de leche
30;Lacteos Los Andes;Lácteos;crema de leche
31;Lacteos Los Andes;Lácteos;queso amarillo
32;Lacteos Los Andes;Lácteos;queso blanco
33;Lacteos Los Andes;Lácteos;yogurt firme de ciruelas
34;Lacteos Los Andes;Lácteos;yogurt firme de pińas
35;Lacteos Los Andes;Lácteos;yogurt firme de natural
36;Lacteos Los Andes;Lácteos;yogurt firme de fresas
37;Lacteos Los Andes;Lácteos;yogurt firme de duraznos
38;Lacteos Los Andes;Lácteos;yogurt dulce con cereal sabor a frutas
39;Lacteos Los Andes;Lácteos;yogurt dulce con cereal de maiz
40;Lacteos Los Andes;Lácteos;yogurt dulce con cereal de maiz azucarado
41;Lacteos Los Andes;Lácteos;yogurt de fresa con cereal sabor a frutas
42;Lacteos Los Andes;Lácteos;yogurt de fresa con cereal de maiz
43;Lacteos Los Andes;Lácteos;yogurt de fresa con cereal de maiz azucarado
44;Lacteos Los Andes;Lácteos;yogurt de durazno con cereal sabor a frutas
45;Lacteos Los Andes;Lácteos;yogurt de durazno con cereal de maiz
46;Lacteos Los Andes;Lácteos;yogurt de durazno con cereal de maiz azucarado
47;Lacteos Los Andes;Lácteos;yogurtin con fresa
48;Lacteos Los Andes;Lácteos;yogurtin con durazco
49;Lacteos Los Andes;Lácteos;bebida lactea achocolatada
50;Lacteos Los Andes;Lácteos;bebida lactea achocolatada
51;Lacteos Los Andes;Procesamiento de frutas;néctar de manzana 1,8l
52;Lacteos Los Andes;Procesamiento de frutas;néctar de durazno 1,8l
53;Lacteos Los Andes;Procesamiento de frutas;néctar de pera 1,8l
54;Lacteos Los Andes;Procesamiento de frutas;néctar de parchita 1,8l
55;Lacteos Los Andes;Procesamiento de frutas;fruit punch 1,8l
56;Lacteos Los Andes;Procesamiento de frutas;naranjada
57;Lacteos Los Andes;Té negro;té con sabor de limón
58;Lacteos Los Andes;Té negro;té con sabor a durazno
59;Lacteos Los Andes;Procesamiento de frutas;néctar de manzana 
60;Lacteos Los Andes;Procesamiento de frutas;néctar de durazno
61;Lacteos Los Andes;Procesamiento de frutas;néctar de pera
62;Lacteos Los Andes;Procesamiento de frutas;néctar de parchita 
63;Lacteos Los Andes;Procesamiento de frutas;naranjada
64;Lacteos Los Andes;Lácteos;bebida lactea achocolatada
65;Lacteos Los Andes;Procesamiento de frutas;néctar de manzana
66;Lacteos Los Andes;Procesamiento de frutas;néctar de durazno
67;Lacteos Los Andes;Procesamiento de frutas;néctar de pera
68;Lacteos Los Andes;Procesamiento de frutas;néctar de mango
69;Lacteos Los Andes;Procesamiento de frutas;papelón con limón
70;Lacteos Los Andes;Procesamiento de frutas;té con durazno
71;Lacteos Los Andes;Procesamiento de frutas;néctar de manzana
72;Lacteos Los Andes;Procesamiento de frutas;néctar de durazno
73;Lacteos Los Andes;Procesamiento de frutas;néctar de pera
74;Lacteos Los Andes;Procesamiento de frutas;néctar de pińa
75;Lacteos Los Andes;Procesamiento de frutas;néctar de mango
76;Lacteos Los Andes;Procesamiento de frutas;papelón con limón
77;Lacteos Los Andes;Procesamiento de frutas;te con limón
78;Lacteos Los Andes;Procesamiento de frutas;te con durazno
79;Lacteos Los Andes;Procesamiento de frutas;mermelada de fresa
80;Lacteos Los Andes;Procesamiento de frutas;mermelada de fresa
81;Lacteos Los Andes;Procesamiento de frutas;mermelada de guayaba
82;Lacteos Los Andes;Procesamiento de frutas;mermelada de guayaba
83;Lacteos Los Andes;Procesamiento de frutas;pasta de tomate
84;Lacteos Los Andes;Procesamiento de frutas;pasta de tomate
85;Lacteos Los Andes;Procesamiento de frutas;ketchup
86;Lacteos Los Andes;Procesamiento de frutas;salsa de cebolla natural
87;Lacteos Los Andes;Procesamiento de frutas;salsa de cebolla natural
88;Lacteos Los Andes;Procesamiento de frutas;salsa de cebolla natural
89;Lacteos Los Andes;Procesamiento de frutas;salsa de cebolla dulce
90;Lacteos Los Andes;Procesamiento de frutas;salsa de cebolla dulce
91;Lacteos Los Andes;Procesamiento de frutas;salsa de cebolla dulce
92;Lacteos Los Andes;Procesamiento de frutas;encurtidos en vinagre
93;Lacteos Los Andes;Procesamiento de frutas;encurtidos en vinagre
94;Industrias Diana;Aceites y Grasas;Aceite Comestible de Soya Diana
95;Industrias Diana;Aceites y Grasas;Margarina la Estancia 
96;Industrias Diana;Aceites y Grasas;Margarina la Estancia 
97;Industrias Diana;Aceites y Grasas;Margarina la Estancia con sal y sin sal (uso industrial)
98;Industrias Diana;Aceites y Grasas;Manteca Aura (uso industrial)
99;INN;Alimentos Procesados;Nutri Chicha
100;INN;Alimentos Procesados;Nutri Chicha
101;INN;Alimentos Procesados;Nutri Chicha
102;INN;Alimentos Procesados;Nutri Cereal
103;INN;Alimentos Procesados;Nutri Cereal
104;INN;Alimentos Procesados;Nutri Cereal
105;INN;Alimentos Procesados;Crema de Arroz
106;INN;Alimentos Procesados;Crema de Arroz
107;INN;Alimentos Procesados;Nutri Fororo
108;INN;Alimentos Procesados;Nutri Fororo
109;INN;Alimentos Procesados;Nutri Fororo
110;INN;Alimentos Procesados;Nutri Cacao
111;INN;Alimentos Procesados;Nutri Cacao
112;INN;Alimentos Procesados;Nutri Mańoco
113;INN;Alimentos Procesados;Nutri Mańoco
114;INN;Alimentos Procesados;Mańoco Enriquecido
115;INN;Alimentos Procesados;Mańoco Enriquecido
